Comune,Regione,Media Incidenti,Media Feriti,Media Morti,Media Superficie(Kmq),Media Popolazione,Incidenti_Pro_Capite_1000,Lesività_Pro_Capite_1000,Densità_Incidenti_Kmq
Albiate,Lombardia,9.272727272727273,11.272727272727273,0.0,2.8631,6430.181818181818,1.4420629983600068,1.7530961940847143,3.2387018520929316
Albidona,Calabria,0.6363636363636364,2.090909090909091,0.0,64.66885454545455,1231.7272727272727,0.5166432947080964,1.6975422540408887,0.009840341859099237
Albignasego,Veneto,68.0909090909091,88.9090909090909,0.8181818181818182,21.155263636363635,26137.18181818182,2.6051358392259023,3.4329360124378714,3.2186273005772477
Albinea,Emilia-Romagna,12.090909090909092,15.363636363636363,0.5454545454545454,43.88837272727273,8849.545454545454,1.3662745903744415,1.7977297241768968,0.27549230786120404
Albino,Lombardia,46.36363636363637,64.36363636363636,0.5454545454545454,31.808381818181818,17727.090909090908,2.6154114401173345,3.6615760161642683,1.4575917954158453
Albiolo,Lombardia,2.4545454545454546,3.8181818181818183,0.09090909090909091,2.8386,2720.090909090909,0.9023762574780255,1.4371177433909295,0.8647028304605984
Albisola Superiore,Liguria,49.18181818181818,58.81818181818182,0.6363636363636364,28.6771,9842.0,4.997136576083944,6.040900777742883,1.7150206325541348
Albissola Marina,Liguria,31.272727272727273,41.36363636363637,0.18181818181818182,3.2457,5305.545454545455,5.894347252445983,7.830571785952948,9.635125634755916
Albizzate,Lombardia,11.454545454545455,17.454545454545453,0.18181818181818182,3.8836272727272725,5227.545454545455,2.1911900248682676,3.3737370224162215,2.949445106378995
Albonese,Lombardia,1.2727272727272727,1.8181818181818181,0.18181818181818182,4.3279,542.9090909090909,2.344273275284662,3.6838580040187545,0.2940750185372289
Albosaggia,Lombardia,5.545454545454546,7.363636363636363,0.0,34.346363636363634,3029.909090909091,1.830237930931021,2.430315941072339,0.16145681691855696
Albugnano,Piemonte,0.2,0.2,0.0,9.5399,512.0,0.390625,0.390625,0.020964580341513016
Albuzzano,Lombardia,7.7272727272727275,12.363636363636363,0.09090909090909091,15.4488,3555.4545454545455,2.17335719764766,3.502940424443876,0.5001859514831396
Alcamo,Sicilia,102.9090909090909,157.27272727272728,1.7272727272727273,130.89316363636365,45015.09090909091,2.2861020344692484,3.532148814740915,0.7862067662676736
